Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
KNN,SW,With BoW,0.6818,0.7195,0.6797,0.6637,0.6271,0.6449,0.009,0.212,344,0.4548,1,476006eb47fe7cf9
LR,SW,With BoW,0.7382,0.7961,0.7703,0.7205,0.7054,0.7129,0.287,0.004,344,0.4548,2,476006eb47fe7cf9
RF,SW,With BoW,0.7314,0.8105,0.8099,0.7642,0.6031,0.6742,0.569,0.038,344,0.4548,2,476006eb47fe7cf9
GB,SW,With BoW,0.7436,0.8211,0.815,0.7337,0.6961,0.7144,5.739,0.007,344,0.4548,2,476006eb47fe7cf9
KNN,SW,With BoW,0.6818,0.7195,0.6797,0.6637,0.6271,0.6449,0.009,0.187,344,0.4548,2,476006eb47fe7cf9
LR,SW,With BoW,0.7382,0.7961,0.7703,0.7205,0.7054,0.7129,0.279,0.003,344,0.4548,3,476006eb47fe7cf9
RF,SW,With BoW,0.7357,0.8102,0.8122,0.7745,0.6016,0.6771,0.572,0.026,344,0.4548,3,476006eb47fe7cf9
GB,SW,With BoW,0.7436,0.8209,0.8149,0.7337,0.6961,0.7144,5.506,0.007,344,0.4548,3,476006eb47fe7cf9
KNN,SW,With BoW,0.6818,0.7195,0.6797,0.6637,0.6271,0.6449,0.009,0.213,344,0.4548,3,476006eb47fe7cf9
LR,SW,With BoW,0.7382,0.7961,0.7703,0.7205,0.7054,0.7129,0.279,0.003,344,0.4548,4,476006eb47fe7cf9
RF,SW,With BoW,0.7343,0.8072,0.8126,0.7687,0.6054,0.6774,0.579,0.025,344,0.4548,4,476006eb47fe7cf9
GB,SW,With BoW,0.7436,0.8212,0.8151,0.7337,0.6961,0.7144,5.509,0.007,344,0.4548,4,476006eb47fe7cf9
KNN,SW,With BoW,0.6818,0.7195,0.6797,0.6637,0.6271,0.6449,0.01,0.224,344,0.4548,4,476006eb47fe7cf9
