,,,,AUROC,AUROC,AUROC,AUPRC,AUPRC,AUPRC,F1,F1,F1
,,,,mean,std,count,mean,std,count,mean,std,count
Model,Cohort,Condition,Variant,,,,,,,,,
LSTM,SW,Sequence Only,old,0.6461,0.0021,5,0.3277,0.0056,5,0.3669,0.0018,5
LSTM,SW,Sequence Only,restricted,0.6916,0.0072,5,0.633,0.0056,5,0.6038,0.0029,5
MLP,ICU,No Process,lat,0.744,0.0006,5,0.3261,0.002,5,0.3511,0.0036,5
MLP,ICU,No Process,old,0.7494,0.001,5,0.4186,0.0002,5,0.4132,0.0021,5
MLP,ICU,No Process,restricted,0.7513,0.0011,5,0.3937,0.0018,5,0.3967,0.0053,5
MLP,ICU,With Process,lat,0.8088,0.0022,5,0.4072,0.0023,5,0.3903,0.0057,5
MLP,ICU,With Process,old,0.8378,0.0006,5,0.558,0.0007,5,0.4878,0.0071,5
MLP,ICU,With Process,restricted,0.8081,0.0012,5,0.4611,0.002,5,0.4454,0.0059,5
MLP,SW,No Process,collapse,0.5881,0.0062,5,0.0305,0.0034,5,0.0552,0.0014,5
MLP,SW,No Process,corr,0.596,0.0027,5,0.1097,0.0024,5,0.1699,0.003,5
MLP,SW,No Process,corrpacu,0.6075,0.003,5,0.1349,0.0023,5,0.2027,0.0013,5
MLP,SW,No Process,lat,0.7689,0.0009,5,0.3111,0.0072,5,0.3551,0.0079,5
MLP,SW,No Process,old,0.7103,0.0018,5,0.3279,0.0093,5,0.3675,0.005,5
MLP,SW,No Process,restricted,0.8051,0.0021,5,0.7994,0.0016,5,0.7097,0.0046,5
MLP,SW,With Process,collapse,0.8637,0.003,5,0.1392,0.0082,5,0.1591,0.0079,5
MLP,SW,With Process,corr,0.8456,0.002,5,0.2998,0.0039,5,0.3496,0.003,5
MLP,SW,With Process,corrpacu,0.8482,0.0012,5,0.3513,0.0047,5,0.3962,0.0056,5
MLP,SW,With Process,lat,0.9115,0.0014,5,0.6316,0.0037,5,0.4495,0.0057,5
MLP,SW,With Process,old,0.8948,0.0009,5,0.6476,0.0035,5,0.5478,0.0047,5
MLP,SW,With Process,restricted,0.8147,0.0031,5,0.8084,0.0018,5,0.7139,0.0037,5
RF,ICU,No Process,lat,0.7256,0.0019,5,0.2901,0.0028,5,0.0243,0.0038,5
RF,ICU,No Process,old,0.7356,0.0025,5,0.3823,0.0034,5,0.1248,0.0027,5
RF,ICU,No Process,restricted,0.7387,0.0015,5,0.3647,0.0028,5,0.1333,0.0048,5
RF,ICU,With BoW,lat,0.7941,0.0025,5,0.3557,0.0043,5,0.0116,0.0038,5
RF,ICU,With BoW,old,0.8205,0.0018,5,0.4815,0.0063,5,0.1557,0.0094,5
RF,ICU,With BoW,restricted,0.7934,0.0021,5,0.4085,0.005,5,0.069,0.0073,5
RF,ICU,With Process,lat,0.8024,0.0008,5,0.3716,0.0033,5,0.0485,0.0033,5
RF,ICU,With Process,old,0.8289,0.0015,5,0.5057,0.0035,5,0.2593,0.0055,5
RF,ICU,With Process,restricted,0.8028,0.0017,5,0.4304,0.0028,5,0.1516,0.0068,5
RF,SW,No Process,collapse,0.5613,0.0126,5,0.0334,0.0016,5,0.0,0.0,5
RF,SW,No Process,corr,0.5766,0.0083,5,0.0974,0.0036,5,0.0,0.0,5
RF,SW,No Process,corrpacu,0.5891,0.004,5,0.1203,0.002,5,0.0,0.0,5
RF,SW,No Process,lat,0.754,0.0031,5,0.3196,0.0044,5,0.1404,0.0067,5
RF,SW,No Process,old,0.697,0.0012,5,0.3223,0.0017,5,0.1337,0.0043,5
RF,SW,No Process,restricted,0.8035,0.0023,5,0.8041,0.0023,5,0.6903,0.0063,5
RF,SW,With BoW,collapse,0.8726,0.0016,5,0.1611,0.0088,5,0.0065,0.0046,5
RF,SW,With BoW,corr,0.8475,0.0016,5,0.3275,0.0032,5,0.0801,0.0059,5
RF,SW,With BoW,corrpacu,0.8479,0.0019,5,0.3725,0.0028,5,0.1049,0.0007,5
RF,SW,With BoW,lat,0.9074,0.0005,5,0.6211,0.0017,5,0.4703,0.0027,5
RF,SW,With BoW,old,0.889,0.0007,5,0.633,0.0018,5,0.4299,0.0077,5
RF,SW,With BoW,restricted,0.8098,0.0016,5,0.8116,0.0013,5,0.6767,0.0021,5
RF,SW,With Process,collapse,0.8682,0.0056,5,0.1401,0.0033,5,0.0,0.0,5
RF,SW,With Process,corr,0.8517,0.001,5,0.3132,0.0027,5,0.0645,0.005,5
RF,SW,With Process,corrpacu,0.8539,0.0019,5,0.3631,0.0058,5,0.1161,0.0096,5
RF,SW,With Process,lat,0.9121,0.0018,5,0.6332,0.0021,5,0.4727,0.0032,5
RF,SW,With Process,old,0.8953,0.0017,5,0.64,0.0031,5,0.4387,0.0066,5
RF,SW,With Process,restricted,0.8199,0.0019,5,0.8189,0.0024,5,0.6899,0.0056,5
RNN,ICU,Sequence + Tabular,lat,0.7874,0.0025,5,0.3832,0.0023,5,0.3899,0.0055,5
RNN,ICU,Sequence + Tabular,old,0.8101,0.002,5,0.5251,0.0022,5,0.4772,0.0111,5
RNN,ICU,Sequence + Tabular,restricted,0.7897,0.0027,5,0.44,0.0036,5,0.4272,0.0086,5
RNN,ICU,Sequence Only,lat,0.5301,0.0028,5,0.1259,0.0009,5,0.2139,0.0117,5
RNN,ICU,Sequence Only,old,0.5292,0.0034,5,0.1603,0.0012,5,0.2452,0.0317,5
RNN,ICU,Sequence Only,restricted,0.5435,0.0022,5,0.1552,0.0028,5,0.2546,0.0007,5
