Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id,Variant,Seed,Test_Time_s,n_features,pos_rate
BiLSTM,SW,Sequence Only,0.3484,0.5636,0.1085,0.1019,0.7789,0.1802,26.0,27.1,0f50fb19f263c430,corrpacu,3,,,
BiLSTM,SW,Sequence + Tabular,0.7997,0.8345,0.3132,0.2756,0.7239,0.3992,30.0,32.8,0f50fb19f263c430,corrpacu,3,,,
BiLSTM,SW,Sequence Only,0.3531,0.562,0.1076,0.1023,0.7765,0.1808,28.0,28.8,0f50fb19f263c430,corrpacu,4,,,
BiLSTM,SW,Sequence + Tabular,0.774,0.8309,0.3061,0.255,0.7595,0.3818,29.0,31.6,0f50fb19f263c430,corrpacu,4,,,
BiLSTM,SW,Sequence Only,0.4188,0.562,0.1061,0.1061,0.7166,0.1848,19.0,19.8,0f50fb19f263c430,corrpacu,42,,,
BiLSTM,SW,Sequence + Tabular,0.7795,0.8321,0.3169,0.2588,0.7506,0.3849,27.0,29.6,0f50fb19f263c430,corrpacu,42,,,
BiLSTM,ICU,Sequence Only,0.288,0.5362,0.1273,0.1262,0.8426,0.2195,30.0,39.2,6e09b6e8a1606e84,lat,1,,,
BiLSTM,ICU,Sequence + Tabular,0.7513,0.7908,0.3876,0.2756,0.6713,0.3908,36.0,50.1,6e09b6e8a1606e84,lat,1,,,
BiLSTM,SW,Sequence Only,0.912,0.6956,0.3605,0.5487,0.37,0.4419,16.0,16.4,0f50fb19f263c430,lat,1,,,
BiLSTM,SW,Sequence + Tabular,0.8618,0.8923,0.6047,0.3783,0.7273,0.4977,34.0,37.5,0f50fb19f263c430,lat,1,,,
BiLSTM,ICU,Sequence Only,0.2262,0.5276,0.1253,0.1252,0.9208,0.2204,13.0,17.1,6e09b6e8a1606e84,lat,2,,,
BiLSTM,ICU,Sequence + Tabular,0.7261,0.7853,0.3812,0.2602,0.7082,0.3806,18.0,25.4,6e09b6e8a1606e84,lat,2,,,
BiLSTM,SW,Sequence Only,0.9114,0.693,0.36,0.5429,0.37,0.4401,17.0,17.6,0f50fb19f263c430,lat,2,,,
BiLSTM,SW,Sequence + Tabular,0.8635,0.8913,0.6018,0.3799,0.7115,0.4953,31.0,34.5,0f50fb19f263c430,lat,2,,,
BiLSTM,ICU,Sequence Only,0.2211,0.5289,0.1264,0.1251,0.9268,0.2204,13.0,17.1,6e09b6e8a1606e84,lat,3,,,
BiLSTM,ICU,Sequence + Tabular,0.737,0.7916,0.3867,0.2675,0.6982,0.3868,31.0,43.4,6e09b6e8a1606e84,lat,3,,,
BiLSTM,SW,Sequence Only,0.9101,0.6911,0.3577,0.5321,0.3731,0.4387,20.0,20.4,0f50fb19f263c430,lat,3,,,
BiLSTM,SW,Sequence + Tabular,0.8553,0.8937,0.6034,0.3672,0.7423,0.4914,20.0,21.9,0f50fb19f263c430,lat,3,,,
BiLSTM,ICU,Sequence Only,0.6288,0.5365,0.1274,0.1306,0.3755,0.1938,19.0,25.0,6e09b6e8a1606e84,lat,4,,,
BiLSTM,ICU,Sequence + Tabular,0.7626,0.7893,0.3835,0.2848,0.6609,0.3981,37.0,52.0,6e09b6e8a1606e84,lat,4,,,
BiLSTM,SW,Sequence Only,0.9133,0.6944,0.3599,0.5604,0.3668,0.4434,13.0,13.5,0f50fb19f263c430,lat,4,,,
BiLSTM,SW,Sequence + Tabular,0.8457,0.8973,0.6072,0.3522,0.7621,0.4818,33.0,36.3,0f50fb19f263c430,lat,4,,,
